July 27,Archery,False,"[('men', 'Individual ')]",Ticket Limit: 0,Lord's Cricket Ground,[],09:00,11:00
July 27,Archery,False,"[('women', 'Individual ')]",Ticket Limit: 0,Lord's Cricket Ground,[],13:00,15:00
July 28,Archery,False,"[('men', 'Team ')]",Ticket Limit: 20,Lord's Cricket Ground,"[u'\xa365.00', u'\xa345.00', u'\xa330.00', None, u'\xa320.00', None]",09:00,12:20
July 28,Archery,True,"[('men', 'Team ')]",Ticket Limit: 6,Lord's Cricket Ground,"[u'\xa395.00', u'\xa365.00', u'\xa345.00', u'\xa330.00']",15:00,19:00
July 29,Archery,False,"[('women', 'Team ')]",Ticket Limit: 20,Lord's Cricket Ground,"[u'\xa365.00', u'\xa345.00', u'\xa330.00', None, u'\xa320.00', None]",09:00,12:20
July 29,Archery,True,"[('women', 'Team ')]",Ticket Limit: 6,Lord's Cricket Ground,"[u'\xa395.00', u'\xa365.00', u'\xa345.00', u'\xa330.00']",15:00,19:00
July 30,Archery,False,"[('men', 'Individual '), ('women', 'Individual ')]",Ticket Limit: 6,Lord's Cricket Ground,"[u'\xa365.00', u'\xa345.00', u'\xa330.00', u'\xa320.00']",09:00,13:00
July 30,Archery,False,"[('men', 'Individual '), ('women', 'Individual ')]",Ticket Limit: 6,Lord's Cricket Ground,"[u'\xa365.00', u'\xa345.00', u'\xa330.00', u'\xa320.00']",15:00,17:40
July 31,Archery,False,"[('men', 'Individual '), ('women', 'Individual ')]",Ticket Limit: 6,Lord's Cricket Ground,"[u'\xa365.00', u'\xa345.00', u'\xa330.00', u'\xa320.00']",09:00,13:00
July 31,Archery,False,"[('men', 'Individual '), ('women', 'Individual ')]",Ticket Limit: 6,Lord's Cricket Ground,"[u'\xa365.00', u'\xa345.00', u'\xa330.00', u'\xa320.00']",15:00,17:40
August  1,Archery,False,"[('men', 'Individual '), ('women', 'Individual ')]",Ticket Limit: 20,Lord's Cricket Ground,"[u'\xa365.00', u'\xa345.00', u'\xa330.00', None, u'\xa320.00', None]",09:00,13:00
August  1,Archery,False,"[('men', 'Individual '), ('women', 'Individual ')]",Ticket Limit: 6,Lord's Cricket Ground,"[u'\xa365.00', u'\xa345.00', u'\xa330.00', u'\xa320.00']",15:00,19:00
August  2,Archery,False,"[('women', 'Individual ')]",Ticket Limit: 6,Lord's Cricket Ground,"[u'\xa365.00', u'\xa345.00', u'\xa330.00', u'\xa320.00']",09:00,10:45
August  2,Archery,True,"[('women', 'Individual ')]",Ticket Limit: 6,Lord's Cricket Ground,"[u'\xa395.00', u'\xa365.00', u'\xa345.00', u'\xa330.00']",14:00,16:20
August  3,Archery,False,"[('men', 'Individual ')]",Ticket Limit: 6,Lord's Cricket Ground,"[u'\xa365.00', u'\xa345.00', u'\xa330.00', u'\xa320.00']",09:00,10:45
August  3,Archery,True,"[('men', 'Individual ')]",Ticket Limit: 6,Lord's Cricket Ground,"[u'\xa395.00', u'\xa345.00', u'\xa330.00', u'\xa320.00']",14:00,16:20
August  3,Athletics,False,"[('men', '400m hurdles '), ('men', '3,000 metre steeplechase '), ('men', 'Hammer '), ('men', 'Shot put '), ('women', '100 metres '), ('women', '400 metres '), ('women', 'Triple jump '), ('women', 'Heptathlon ')]",Ticket Limit: 20,Olympic Park - Olympic Stadium,"[u'\xa3150.00', u'\xa395.00', u'\xa365.00', u'\xa340.00', None, u'\xa320.00', None]",10:00,13:45
August  3,Athletics,True,"[('men', '1,500 metres '), ('men', 'Long jump '), ('men', 'Shot put '), ('women', '100 metres '), ('women', '10,000 metres '), ('women', 'Discus '), ('women', 'Heptathlon ')]",Ticket Limit: 6,Olympic Park - Olympic Stadium,"[u'\xa3450.00', u'\xa3295.00', u'\xa3150.00', u'\xa395.00', u'\xa350.00']",19:00,21:55
August  4,Athletics,False,"[('men', '100 metres '), ('men', '400 metres '), ('women', '3,000 metre steeplechase '), ('women', 'Pole vault '), ('women', 'Heptathlon ')]",Ticket Limit: 20,Olympic Park - Olympic Stadium,"[u'\xa3150.00', u'\xa395.00', u'\xa365.00', u'\xa340.00', None, u'\xa320.00', None]",10:00,13:45
August  4,Athletics,True,"[('men', '20 km race walk ')]",Ticket Limit: 10,The Mall,"[u'\xa330.00', None, None, u'\xa320.00', None, None]",17:00,18:30
August  4,Athletics,True,"[('men', '400m hurdles '), ('men', '10,000 metres '), ('men', 'Long jump '), ('men', 'Shot put '), ('men', '20 km race walk '), ('women', '100 metres '), ('women', '400 metres '), ('women', '10,000 metres '), ('women', 'Discus '), ('women', 'Heptathlon ')]",Ticket Limit: 6,Olympic Park - Olympic Stadium,"[u'\xa3450.00', u'\xa3295.00', u'\xa3150.00', u'\xa395.00', u'\xa350.00']",18:50,22:05
August  5,Athletics,True,"[('women', 'Marathon ')]",Ticket Limit: 10,The Mall,"[u'\xa350.00', None, u'\xa330.00', None, None, u'\xa320.00', None, None]",11:00,14:00
August  5,Athletics,True,"[('men', '100 metres '), ('men', '400 metres '), ('men', '1,500 metres '), ('men', '3,000 metre steeplechase '), ('men', '10,000 metres '), ('men', 'High jump '), ('men', 'Long jump '), ('men', 'Hammer '), ('women', '100 metres '), ('women', '400 metres '), ('women', '400 metre hurdles '), ('women', 'Triple jump '), ('women', 'Marathon ')]",Ticket Limit: 4,Olympic Park - Olympic Stadium,"[u'\xa3725.00', u'\xa3420.00', u'\xa3295.00', u'\xa3125.00', u'\xa350.00']",18:50,21:55
August  6,Athletics,False,"[('men', '800 metres '), ('men', 'Discus '), ('women', '100 metre hurdles '), ('women', '1,500 metres '), ('women', 'Shot put ')]",Ticket Limit: 20,Olympic Park - Olympic Stadium,"[u'\xa3150.00', u'\xa395.00', u'\xa365.00', u'\xa340.00', None, u'\xa320.00', None]",10:00,12:20
August  6,Athletics,True,"[('men', '100 metres '), ('men', '400 metres '), ('men', '400 metre hurdles '), ('men', '3,000 metre steeplechase '), ('men', 'Hammer '), ('women', '200 metres '), ('women', '400 metre hurdles '), ('women', '3,000 metre steeplechase '), ('women', 'Pole vault '), ('women', 'Shot put ')]",Ticket Limit: 6,Olympic Park - Olympic Stadium,"[u'\xa3450.00', u'\xa3295.00', u'\xa3150.00', u'\xa395.00', u'\xa350.00']",18:50,21:40
August  7,Athletics,False,"[('men', '110 metre hurdles '), ('men', '200 metres '), ('men', 'Triple jump '), ('women', '5,000 metres '), ('women', 'Javelin ')]",Ticket Limit: 20,Olympic Park - Olympic Stadium,"[u'\xa3150.00', u'\xa395.00', u'\xa365.00', u'\xa340.00', None, u'\xa320.00', None]",10:00,12:35
August  7,Athletics,True,"[('men', '400 metres '), ('men', '800 metres '), ('men', '1,500 metres '), ('men', 'High jump '), ('men', 'Discus '), ('women', '100 metre hurdles '), ('women', '200 metres '), ('women', '3,000 metre steeplechase '), ('women', 'Long jump '), ('women', 'Pole vault ')]",Ticket Limit: 6,Olympic Park - Olympic Stadium,"[u'\xa3450.00', u'\xa3295.00', u'\xa3150.00', u'\xa395.00', u'\xa350.00']",18:50,21:20
August  8,Athletics,False,"[('men', '5,000 metres '), ('men', 'Pole vault '), ('men', 'Decathlon '), ('women', '800 metres '), ('women', 'Hammer ')]",Ticket Limit: 20,Olympic Park - Olympic Stadium,"[u'\xa3150.00', u'\xa395.00', u'\xa365.00', u'\xa340.00', None, u'\xa320.00', None]",10:00,13:40
August  8,Athletics,True,"[('men', '110 metre hurdles '), ('men', '200 metres '), ('men', '1,500 metres '), ('men', 'High jump '), ('men', 'Discus '), ('men', 'Javelin '), ('men', 'Decathlon '), ('women', '100 metre hurdles '), ('women', '200 metres '), ('women', '400 metre hurdles '), ('women', '1,500 metres '), ('women', 'Long jump ')]",Ticket Limit: 6,Olympic Park - Olympic Stadium,"[u'\xa345.00', u'\xa3295.00', u'\xa3150.00', u'\xa395.00', u'\xa350.00']",18:00,21:55
August  9,Athletics,False,"[('men', '4 x 400m relay '), ('men', 'Decathlon '), ('women', 'High jump ')]",Ticket Limit: 20,Olympic Park - Olympic Stadium,"[u'\xa3150.00', u'\xa395.00', u'\xa365.00', u'\xa340.00', None, u'\xa320.00', None]",09:00,16:00
August  9,Athletics,True,"[('men', '110 metre hurdles '), ('men', '200 metres '), ('men', '800 metres '), ('men', 'Triple jump '), ('men', 'Decathlon '), ('women', '200 metres '), ('women', '800 metres '), ('women', '4 x 100 metre relay '), ('women', 'Long jump '), ('women', 'Javelin ')]",Ticket Limit: 6,Olympic Park - Olympic Stadium,"[u'\xa3450.00', u'\xa3295.00', u'\xa3150.00', u'\xa395.00', u'\xa350.00']",18:30,22:10
August 10,Athletics,True,"[('men', '4 x 100 metre relay '), ('men', '4 x 400m relay '), ('men', 'Pole vault '), ('men', 'Decathlon '), ('women', '1,500 metres '), ('women', '5,000 metres '), ('women', '4 x 100 metre relay '), ('women', '4 x 400m relay '), ('women', 'Hammer '), ('women', 'Javelin ')]",Ticket Limit: 4,Olympic Park - Olympic Stadium,"[u'\xa3725.00', u'\xa3420.00', u'\xa3295.00', u'\xa3125.00', u'\xa350.00']",19:00,21:40
August 11,Athletics,True,"[('men', '50 km race walk ')]",Ticket Limit: 10,The Mall,"[u'\xa330.00', None, None, u'\xa320.00', None, None]",09:00,13:20
August 11,Athletics,True,"[('women', '20 km race walk ')]",Ticket Limit: 10,The Mall,"[u'\xa330.00', None, None, u'\xa320.00', None, None]",17:00,18:45
August 11,Athletics,True,"[('men', '5,000 metres '), ('men', '4 x 100 metre relay '), ('men', '4 x 400m relay '), ('men', 'Pole vault '), ('men', 'Javelin '), ('men', '50 km race walk '), ('women', '800 metres '), ('women', '4 x 400m relay '), ('women', 'High jump '), ('women', 'Hammer '), ('women', '20 km race walk ')]",Ticket Limit: 4,Olympic Park - Olympic Stadium,"[u'\xa3725.00', u'\xa3420.00', u'\xa3295.00', u'\xa3125.00', u'\xa350.00']",18:45,21:30
August 12,Athletics,True,"[('men', 'Marathon ')]",Ticket Limit: 10,The Mall,"[u'\xa350.00', None, u'\xa330.00', None, None, u'\xa320.00', None, None]",11:00,13:40
July 28,Badminton,False,"[('men', 'Singles '), ('men', 'Doubles '), ('women', 'Singles '), ('women', 'Doubles '), ('mixed', 'Doubles ')]",Ticket Limit: 20,Wembley Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', None, u'\xa320.00', None]",08:30,11:00
July 28,Badminton,False,"[('men', 'Singles '), ('men', 'Doubles '), ('women', 'Singles '), ('women', 'Doubles '), ('mixed', 'Doubles ')]",Ticket Limit: 20,Wembley Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', None, u'\xa320.00', None]",12:30,17:00
July 28,Badminton,False,"[('men', 'Singles '), ('men', 'Doubles '), ('women', 'Singles '), ('women', 'Doubles '), ('mixed', 'Doubles ')]",Ticket Limit: 6,Wembley Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', u'\xa320.00']",18:30,23:00
July 29,Badminton,False,"[('men', 'Singles '), ('men', 'Doubles '), ('women', 'Singles '), ('women', 'Doubles '), ('mixed', 'Doubles ')]",Ticket Limit: 20,Wembley Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', None, u'\xa320.00', None]",08:30,11:00
July 29,Badminton,False,"[('men', 'Singles '), ('men', 'Doubles '), ('women', 'Singles '), ('women', 'Doubles '), ('mixed', 'Doubles ')]",Ticket Limit: 20,Wembley Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', None, u'\xa320.00', None]",12:30,17:00
July 29,Badminton,False,"[('men', 'Singles '), ('men', 'Doubles '), ('women', 'Singles '), ('women', 'Doubles '), ('mixed', 'Doubles ')]",Ticket Limit: 6,Wembley Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', u'\xa320.00']",18:30,23:00
July 30,Badminton,False,"[('men', 'Singles '), ('men', 'Doubles '), ('women', 'Singles '), ('women', 'Doubles '), ('mixed', 'Doubles ')]",Ticket Limit: 20,Wembley Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', None, u'\xa320.00', None]",08:30,11:00
July 30,Badminton,False,"[('men', 'Singles '), ('men', 'Doubles '), ('women', 'Singles '), ('women', 'Doubles '), ('mixed', 'Doubles ')]",Ticket Limit: 20,Wembley Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', None, u'\xa320.00', None]",12:30,17:00
July 30,Badminton,False,"[('men', 'Singles '), ('men', 'Doubles '), ('women', 'Singles '), ('women', 'Doubles '), ('mixed', 'Doubles ')]",Ticket Limit: 6,Wembley Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', u'\xa320.00']",18:30,23:00
July 31,Badminton,False,"[('men', 'Singles '), ('men', 'Doubles '), ('women', 'Singles '), ('women', 'Doubles '), ('mixed', 'Doubles ')]",Ticket Limit: 20,Wembley Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', None, u'\xa320.00', None]",08:30,11:00
